Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
"Ralph Spintge, Roland Droh";1992; """ Musik-Medizin""";3437114026;Unbekannt
"Helmut Hutten";1992; """ BIOMEDIZINISCHE TECHNIK 1""";3540525378;Unbekannt
"Otto Zeller";1992; """ International bibliography of periodical literature covering all fields of knowledge""";Unbekannt;Unbekannt
"Unbekannt";1992; """ Polnische Avantgarde, 1930-1990""";Unbekannt;Unbekannt
"Helmut Zedelmaier";1992; """ Bibliotheca universalis und bibliotheca selecta""";Unbekannt;Unbekannt
"Paolo Bianchi";1992; """ Frontiera '92. Fiera dell'arte""";Unbekannt;Unbekannt
"Unbekannt";1992; """ Komponisten der Gegenwart""";3883774146;Unbekannt
"Helmut Conrads, Angelika Conrads";1992; """ Modellversuch Mädchen in Naturwissenschaften und Technik""";3631438966;Unbekannt
"Herbert Rosendorfer";1992; """ Deutsche Suite""";3485006556;Unbekannt
"Marcelo Dascal";1992; """ La philosophie du langage""";Unbekannt;Unbekannt
"James Ellroy";1992; """ Blut auf dem Mond""";3548229794;Unbekannt
"Heinz-Dieter Ebbinghaus, Jörg Flum, Wolfgang Thomas";1992; """ Einführung in die mathematische Logik""";Unbekannt;Unbekannt
"Günther Bächler";1992; """ Peace and conflict research in times of radical change""";Unbekannt;Unbekannt
"Lionel Davidson";1992; """ Die Rose von Tibet""";3442072727;Unbekannt
"Burkhard Frenzel, Ludwig Reisch, Birgit Gläser";1992; """ Evaluation of Land Surfaces Cleared from Forests by Prehistoric Man in Early Neolithic Times and the Time of Migrating Germanic Tribes""";Unbekannt;Unbekannt
"Elisabeth Stopp";1992; """ German Romantics in Context""";Unbekannt;Unbekannt
"Mamou Othman";1992; """ Thomas Hardy and D.H. Lawrence, a Comparison Between Hardy's and Lawrence's Approaches to the Man-woman Relationship""";Unbekannt;Unbekannt
"Unbekannt";1992; """ Technik und Kunst""";Unbekannt;Unbekannt
"Karl Mägdefrau";1992; """ Geschichte der Botanik""";Unbekannt;Unbekannt
"Max Weber";1992; """ Wissenschaft als Beruf""";316145765X;Unbekannt
"Jan Trommelmans";1992; """ Das Auto und seine Technik""";361301288X;Unbekannt
"Unbekannt";1992; """ Henry Moore Bibliography: Index 1898-1986, together with a chronology of Moore's life and career, a previously unpublished interview and a list of publications cited in the bibliography""";Unbekannt;Unbekannt
"Armin Hermann, Hans-Peter Sang";1992; """ Technik und Staat""";Unbekannt;Unbekannt
"Lothar Papula";01.01.1992; """ Übungen zur Mathematik für Ingenieure""";352814355X;Unbekannt
"Internationale Assoziation von Philosophinnen. Symposion";1992; """ Against Patriarchal Thinking""";Unbekannt;Unbekannt
"Kommission Die Funktion des Gesetzes in Geschichte und Gegenwart. Symposion, Wolfgang Sellert";1992; """ Das Gesetz in Spätantike und frühem Mittelalter""";Unbekannt;Unbekannt
"Gabriele Muschter, Rüdiger Thomas";1992; """ Jenseits der Staatskultur""";Unbekannt;Unbekannt
"Paul Veyne";1992; """ Foucault""";3518117025;Unbekannt
"Kommission Die Funktion des Gesetzes in Geschichte und Gegenwart. Symposion, Wolfgang Sellert";1992; """ Das Gesetz in Spätantike und frühem Mittelalter""";Unbekannt;Unbekannt
"Armin Hermann, Hans-Peter Sang";1992; """ Technik und Staat""";Unbekannt;Unbekannt
"Christian Walther";1992; """ Ethik und Technik""";3110134756;Unbekannt
"Helmut Hutten";1992; """ BIOMEDIZINISCHE TECHNIK 1""";3540525378;Unbekannt
"Unbekannt";1992; """ Journal of Institutional and Theoretical Economics""";Unbekannt;Unbekannt
"Lothar Papula";01.01.1992; """ Übungen zur Mathematik für Ingenieure""";352814355X;Unbekannt
"Maurits Cornelis Escher, Doris Schattschneider, Wallace Walker";1992; """ M. C. Escher Kaleidozyklen""";3822896004;Unbekannt
"Unbekannt";1992; """ Göttingische Anzeigen von gelehrten Sachen, unter der Aufsicht der Königl. Gesellschaft der Wissenschaften""";Unbekannt;Unbekannt
"Werner Ego";1992; """ Abschied von der Moral""";Unbekannt;Unbekannt
"Christine Strauß";01.10.1991; """ Informatik-Sicherheitsmanagement""";3519021862;Unbekannt
"Christine Strauß";01.10.1991; """ Informatik-Sicherheitsmanagement""";3519021862;Unbekannt
"Angela Sjölander-Hovorka";1991; """ Schnittstelle Vernissage""";9178707404;Unbekannt
"Hal A. Lingerman";1991; """ Bewusst hören""";Unbekannt;Unbekannt
"Hermann Conen";1991; """ Formel-Komposition""";Unbekannt;Unbekannt
"Dietmar Wischmeyer";1991; """ Günther, der Treckerfahrer""";3893150315;Unbekannt
"Hans-Jörg Kreowski";1991; """ Logische Grundlagen der Informatik""";3486207733;Unbekannt
"Udo Kultermann";1991; """ Kunst und Wirklichkeit""";Unbekannt;Unbekannt
"Unbekannt";1991; """ Deutschsprachige Verlage""";Unbekannt;Unbekannt
"Malcolm S. Longair";1991; """ Theoretische Konzepte der Physik""";3540532056;Unbekannt
"Unbekannt";1991; """ Archiv für Geschichte der Philosophie""";Unbekannt;Unbekannt
"Bret Easton Ellis";1991; """ American Psycho""";3462021575;Unbekannt
"Beroald Thomassen";1991; """ Wissenschaft zwischen Neugierde und Verantwortung""";3631440804;Unbekannt
"Jaroslav Pánek";1991; """ Comenius in World Science and Culture""";Unbekannt;Unbekannt
"Tony Hackens";1991; """ A Survey of Numismatic Research, 1985-1990""";Unbekannt;Unbekannt
"Art Spiegelman";1991; """ Maus""";3763237259;Unbekannt
"Helmut Schwegler";1991; """ Der Fachbereich Physik und Elektrotechnik""";Unbekannt;Unbekannt
"Alan Goble";1991; """ The International Film Index, 1895-1990: Film titles""";Unbekannt;Unbekannt
"Udo Kultermann";1991; """ Kunst und Wirklichkeit""";Unbekannt;Unbekannt
"William Faulkner, Elisabeth Schnack";1991; """ Das Haus""";3257209940;Unbekannt
"Marcellinus Edorh";1991; """ Theater in Ghana""";Unbekannt;Unbekannt
"Unbekannt";1991; """ Die grosse Heidelberger Liederhandschrift""";Unbekannt;Unbekannt
"Hal A. Lingerman";1991; """ Bewusst hören""";Unbekannt;Unbekannt
"Winfried Georg Sebald";1991; """ Unheimliche Heimat""";Unbekannt;Unbekannt
"Andreas Reuter";02.10.1990; """ GI - 20. Jahrestagung I""";3540532129;Unbekannt
"Clemens Hennes";1990; """ Informatik""";Unbekannt;Unbekannt
"Clemens Hennes";1990; """ Informatik""";Unbekannt;Unbekannt
"Albert Messiah";1990; """ Quantenmechanik""";3110126699;Unbekannt
"Arthur Schnitzler";1990; """ Der Weg ins Freie""";3596294053;Unbekannt
"Ernst Anton Nicolai";1990; """ Die Verbindung der Musik mit der Artzneygelahrheit""";Unbekannt;Unbekannt
"Otto Zeller";1990; """ International bibliography of periodical literature covering all fields of knowledge""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Paideuma""";Unbekannt;Unbekannt
"Eötvös Loránd Tudományegyetem";1990; """ Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae""";Unbekannt;Unbekannt
"Leonard P. Wessell";1990; """ Zur Funktion des Ästhetischen in der Kosmologie Alfred North Whiteheads""";Unbekannt;Unbekannt
"Otl Aicher";1990; """ Die Gegenwart Ockhams""";Unbekannt;Unbekannt
"Hans-Jürgen Seelos";1990; """ Wörterbuch der medizinischen Informatik""";3110112248;Unbekannt
"Marie-Anne Berr";1990; """ Technik und Körper""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Hidden impressions""";Unbekannt;Unbekannt
"Unbekannt";1990; """ VDLF""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Hidden impressions""";Unbekannt;Unbekannt
"Renate Müller";01.01.1990; """ Soziale Bedingungen der Umgehensweisen Jugendlicher mit Musik""";3892063737;Unbekannt
"Bas C. Van Fraassen";1990; """ Erklären und Verstehen in der Wissenschaft""";3486539124;Unbekannt
"Thomas Strese, Knut Böttcher";1990; """ Ratgeber Zweitaktmotoren""";3344003860;Unbekannt
"Barbara Neuwirth";1990; """ In den Gärten der Nacht""";Unbekannt;Unbekannt
"Renate Müller";01.01.1990; """ Soziale Bedingungen der Umgehensweisen Jugendlicher mit Musik""";3892063737;Unbekannt
"Volker Schmidtchen";1990; """ Kriegswesen im späten Mittelalter""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Börsenblatt für den deutschen Buchhandel""";Unbekannt;Unbekannt
"Günther Hotz";01.01.1990; """ Einführung in die Informatik""";351902246X;Unbekannt
"Hans Pohl";1990; """ Beihefte zur Vierteljahrsschrift für Sozial- und Wirtschaftsgeschichte""";Unbekannt;Unbekannt
"Museum für Kunst und Gewerbe Hamburg";1990; """ Kunst für Hamburg""";Unbekannt;Unbekannt
"Detlef Gojowy";1990; """ Studien zur Musik des XX. Jahrhunderts in Ost- und Ostmitteleuropa""";Unbekannt;Unbekannt
"Otto Brunken";1990; """ Geschichte der deutschen Kinder- und Jugendliteratur""";Unbekannt;Unbekannt
"Volker Schmidtchen";1990; """ Kriegswesen im späten Mittelalter""";Unbekannt;Unbekannt
"Reinhard Schultz, Neue Gesellschaft für Bildende Kunst";1990; """ Kunst & Krieg, 1939-1989""";Unbekannt;Unbekannt
"Simo Knuuttila, Reijo Työrinoja, Sten Ebbesen";1990; """ Knowledge and the Sciences in Medieval Philosophy""";Unbekannt;Unbekannt
"Richard Woodfield";1990; """ Proceedings""";Unbekannt;Unbekannt
"Jörg Fauser";1990; """ Marlon-Brando-Biographie""";Unbekannt;Unbekannt
"Richard Woodfield";1990; """ Proceedings""";Unbekannt;Unbekannt
"Reinhard Schultz, Neue Gesellschaft für Bildende Kunst";1990; """ Kunst & Krieg, 1939-1989""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Bijdragen""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Musik""";3061504052;Unbekannt
"Ferenc Glatz";1990; """ Etudes historiques hongroises 1990: The Stalinist model in Hungary""";Unbekannt;Unbekannt
"Unbekannt";1990; """ Quaerendo""";Unbekannt;Unbekannt
"Paul Weingartner, Gerhard Schurz";02.10.1989; """ Philosophie Des Naturwissenschaften :""";Unbekannt;Unbekannt
"Paul Weingartner, Gerhard Schurz";02.10.1989; """ Philosophie Des Naturwissenschaften :""";Unbekannt;Unbekannt
"Ulrich von Alemann, Herbert Schatz, Georg Simonis";30.01.1989; """ Gesellschaft — Technik — Politik""";Unbekannt;Unbekannt
"Paul Weingartner, Gerhard Schurz";1989; """ Grenzfragen zwischen Philosophie und Naturwissenschaft""";Unbekannt;Unbekannt
"Frederick Pohl, Tony Westermayr";1989; """ Mensch plus""";3453038932;Unbekannt
"Jürgen Mittelstraß";1989; """ Die Wahrheit des Irrtums""";Unbekannt;Unbekannt
"Hartmut Beister, John Buckler";1989; """ Boiotika""";Unbekannt;Unbekannt
"Georg Rückriem, Joachim Stary, Norbert Franck";1989; """ Die Technik wissenschaftlichen Arbeitens""";3506994042;Unbekannt
"Helmut Steiner";1989; """ J.D. Bernal's The Social Function of Science""";Unbekannt;Unbekannt
"Joachim Radkau";1989; """ Technik in Deutschland""";Unbekannt;Unbekannt
"Keri Hulme";1989; """ Unter dem Tagmond""";3763235558;Unbekannt
"Andreas Schäfer";1989; """ Rolle und Konfiguration""";Unbekannt;Unbekannt
"Helmut Lindner";01.01.1989; """ Physik für Ingenieure""";3528640472;Unbekannt
"Unbekannt";1989; """ Wissenschaftliche Untersuchungen Zum Neuen Testament""";Unbekannt;Unbekannt
"Renate Feyl";1989; """ Idylle mit Professor""";Unbekannt;Unbekannt
"Unbekannt";1989; """ Commentationes Humanarum Litterarum""";Unbekannt;Unbekannt
"Hildegard Temporini, Wolfgang Haase";1989; """ Aufstieg und Niedergang der römischen Welt: Principat. v""";Unbekannt;Unbekannt
"Ákos Paulinyi";1989; """ Industrielle Revolution""";Unbekannt;Unbekannt
"Unbekannt";1989; """ Imago Musicae""";Unbekannt;Unbekannt
"Dietrich Harth";1989; """ Karl Jaspers""";Unbekannt;Unbekannt
"Antero Tammisto";1989; """ Miscellanea""";Unbekannt;Unbekannt
"Kossuth Lajos Tudományegyetem";1989; """ Acta Classica Universitatis Scientiarum Debreceniensis""";Unbekannt;Unbekannt
"Unbekannt";1989; """ Deutsche Nationalbibliographie und Bibliographie des im Ausland erschienenen deutschsprachigen Schrifttums""";Unbekannt;Unbekannt
"Karlheinz Stockhausen";1989; """ Texte zur Musik""";3770122496;Unbekannt
"Dietrich Harth";1989; """ Karl Jaspers""";Unbekannt;Unbekannt
"Toni Morrison";1989; """ Menschenkind""";349804317X;Unbekannt
"Unbekannt";1989; """ H.S.""";Unbekannt;Unbekannt
"Wolfgang Blankenburg";1989; """ Biographie und Krankheit""";3137151015;Unbekannt
"Frederick Pohl, Tony Westermayr";1989; """ Mensch plus""";3453038932;Unbekannt
"Unbekannt";1989; """ Vademecum deutscher Lehr- und Forschungsstätten""";Unbekannt;Unbekannt
"Paul Heller";1989; """ Franz Kafka""";Unbekannt;Unbekannt
"Ulrich Jonath, Rolf Krempel";1989; """ Konditionstraining""";3499170388;Unbekannt
"Bernd Wolfinger";05.10.1988; """ Vernetzte und komplexe Informatik-Systeme""";Unbekannt;Unbekannt
"Herwig Knaus, Gottfried Scholz";1988; """ Formen in der Musik: Anregungen zur Musikanalyse""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Jahrbuch der Österreichischen Karl-Jaspers-Gesellschaft""";Unbekannt;Unbekannt
"Wolfgang Pauli, Charles P. Enz, Karl von Meyenn";1988; """ Wolfgang Pauli""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Informatik""";Unbekannt;Unbekannt
"Franz Brentano";01.01.1988; """ Grundzüge der Ästhetik""";9783787331710;22,99
"Norbert Lieb";1988; """ München""";Unbekannt;Unbekannt
"Paul Nekeman";1988; """ La Traduction, Notre Avenir""";Unbekannt;Unbekannt
"Axel Havemann, Baber Johansen";1988; """ Gegenwart als Geschichte""";9004088660;Unbekannt
"Unbekannt";1988; """ Zeitschrift Für Geologische Wissenschaften""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Buch Journal""";Unbekannt;Unbekannt
"Universität Hamburg. Projektgruppe Musik und Nationalsozialismus";1988; """ Zündende Lieder, verbrannte Musik""";Unbekannt;Unbekannt
"Axel Havemann, Baber Johansen";1988; """ Gegenwart als Geschichte""";9004088660;Unbekannt
"Wolfgang Kaunzner";1988; """ Kurt Vogel in Memoriam""";Unbekannt;Unbekannt
"Archibald J. Cronin";1988; """ Die Sterne blicken herab""";3453016831;Unbekannt
"Universität Hamburg. Projektgruppe Musik und Nationalsozialismus";1988; """ Zündende Lieder, verbrannte Musik""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Annales Zoologici""";Unbekannt;Unbekannt
"Wolfgang Deppert";1988; """ Exact Sciences and Their Philosophical Foundations""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Studien und Materialien Zur Geschichte Der Philosophie""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Deutsche Nationalbibliographie""";Unbekannt;Unbekannt
"Ingrid Marchlewitz";1988; """ Leibniz, Tradition und Aktualität""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Deutsches Bücherverzeichnis""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Physica B + C.""";Unbekannt;Unbekannt
"Unbekannt";1988; """ Thomas Mann Jahrbuch""";Unbekannt;Unbekannt
"Mohamed Seif Yasien";1988; """ Traditionelle Musik im Kulturwandel des Nordsudan""";Unbekannt;Unbekannt
"Leonard H. Ehrlich, Richard Wisser";1988; """ Karl Jaspers Today""";Unbekannt;Unbekannt
"Norbert Lieb";1988; """ München""";Unbekannt;Unbekannt
"Melchior Adam Weikard";1988; """ Biographie und Denkwürdigkeiten""";Unbekannt;Unbekannt
"Manfred Hanisch";1988; """ Race for modernisation""";Unbekannt;Unbekannt
"Jörg Meyer-Stamer";1988; """ Informatik in Brasilien""";Unbekannt;Unbekannt
"Berta Stjernquist";1988; """ Trade and Exchange in Prehistory""";Unbekannt;Unbekannt
"Robert Schaback";01.01.1988; """ Grundlagen der Informatik""";3528063041;Unbekannt
"Robert Schaback";01.01.1988; """ Grundlagen der Informatik""";3528063041;Unbekannt
"B. V. Birjukov, E. S. Geller";31.12.1987; """ Informatik und Kybernetik in Nichttechnischen Prozessen""";3112761960;Unbekannt
"Konrad Kleinknecht";01.05.1987; """ Detektoren für Teilchestrahlung""";3519130580;Unbekannt
"Wilma Mohr";1987; """ Frauen in der Wissenschaft""";Unbekannt;Unbekannt
"Christoph Dohmen, Thomas Sternberg";1987; """ --kein Bildnis machen""";Unbekannt;Unbekannt
"Hans Bänziger";1987; """ Frisch und Dürrenmatt""";Unbekannt;Unbekannt
"Hubert Fichte";1987; """ Die Geschichte der Empfindlichkeit""";3100207122;Unbekannt
"Harro Segeberg";1987; """ Literarische Technik-Bilder""";Unbekannt;Unbekannt
"Unbekannt";1987; """ Der unverbrauchte Blick""";Unbekannt;Unbekannt
"Wilhelm Waidelich";1987; """ Laser, Optoelektronik in der Technik""";Unbekannt;Unbekannt
"Gottfried Barthel, Friedrich Hirzebruch, Thomas Höfer";01.01.1987; """ Geradenkonfigurationen und Algebraische Flächen""";3528089075;Unbekannt
"Albert Menne";1987; """ Philosophische Probleme von Arbeit und Technik""";Unbekannt;Unbekannt
"Harro Segeberg";1987; """ Literarische Technik-Bilder""";Unbekannt;Unbekannt
"Christian Hünemörder";1987; """ Wissenschaftsgeschichte heute""";Unbekannt;Unbekannt
"Rolf Sonnemann, Klaus Krug";1987; """ Technik und Technikwissenschaften in Der Geschichte""";Unbekannt;Unbekannt
"Unbekannt";1987; """ Glastechnische Berichte""";Unbekannt;Unbekannt
"Unbekannt";1987; """ Glastechnische Berichte""";Unbekannt;Unbekannt
"Savet akademija nauka SFRJ.";1987; """ Bulletin scientifique""";Unbekannt;Unbekannt
"Unbekannt";1987; """ Deutschland""";Unbekannt;Unbekannt
"Albert Einstein";1987; """ The collected papers of Albert Einstein""";Unbekannt;Unbekannt
"Erich Maria Remarque";1987; """ Arc de Triomphe""";3625200384;Unbekannt
"Albert Menne";1987; """ Philosophische Probleme von Arbeit und Technik""";Unbekannt;Unbekannt
"Julius Meier-Graefe";1987; """ Entwicklungsgeschichte der modernen Kunst""";3492106617;Unbekannt
"Paul Weingartner, Gerhard Schurz";1987; """ Neuere Entwicklungen in Der Erkenntnis- und Wissenschaftstheorie""";Unbekannt;Unbekannt
"Gerhard Czack";1987; """ Gmelin Handbook of Inorganic Chemistry""";Unbekannt;Unbekannt
"Henryk Sienkiewicz";1987; """ Quo Vadis""";Unbekannt;Unbekannt
"Christian Hünemörder";1987; """ Wissenschaftsgeschichte heute""";Unbekannt;Unbekannt
"Rolf Sonnemann, Klaus Krug";1987; """ Technik und Technikwissenschaften in Der Geschichte""";Unbekannt;Unbekannt
"Karl Siegfried Guthke";1987; """ B. Traven""";Unbekannt;Unbekannt
"Christoph Dohmen, Thomas Sternberg";1987; """ --kein Bildnis machen""";Unbekannt;Unbekannt
"Wilma Mohr";1987; """ Frauen in der Wissenschaft""";Unbekannt;Unbekannt
"Clemens Kühn";1987; """ Formenlehre der Musik""";Unbekannt;Unbekannt
"Christian Hünemörder";1987; """ Wissenschaftsgeschichte heute""";Unbekannt;Unbekannt
"Unbekannt";1986; """ Börsenblatt für den deutschen Buchhandel""";Unbekannt;Unbekannt
"Venant Cauchy";1986; """ Filosofía y cultura""";Unbekannt;Unbekannt
"Deutsches Museum (Germany), Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik";1986; """ Deutsches Museum""";3406312063;Unbekannt
"Werner Leinfellner, Franz M. Wuketits";1986; """ Proceedings of the 10th international Wittgenstein Symposium""";Unbekannt;Unbekannt
"Unbekannt";1986; """ Musik in den Medien""";Unbekannt;Unbekannt
"Alfred Dürr, Walther Killy";1986; """ Das Protestantische Kirchenlied im 16. und 17. Jahrhundert""";Unbekannt;Unbekannt
"Unbekannt";01.01.1986; """ Quantentheorie des Magnetismus""";3519030845;Unbekannt
"Anthony P. French";01.01.1986; """ Die spezielle Relativitätstheorie""";3528135468;Unbekannt
"Allan Kaprow";1986; """ Allan Kaprow 1986""";Unbekannt;Unbekannt
"Hans Ulrich Gumbrecht";1986; """ La Littérature historiographique des origines à 1500""";Unbekannt;Unbekannt
"Venant Cauchy";1986; """ Filosofía y cultura""";Unbekannt;Unbekannt
"Unbekannt";1986; """ Acta Historiae Artium""";Unbekannt;Unbekannt
"Fachinformationszentrum Technik";1986; """ FIZ-Technik-Zeitschriftenliste""";Unbekannt;Unbekannt
"Arnold Schoenberg Institute, Kathryn P. Glennan, Jerry L. McBride, R. Wayne Shoaf";1986; """ Arnold Schoenberg Institute Archives Preliminary Catalog""";Unbekannt;Unbekannt
"Unbekannt";1986; """ Kooperative Kunst""";Unbekannt;Unbekannt
"Alexander Cowan";1986; """ Quellen und Darstellungen zur hansischen Geschichte""";Unbekannt;Unbekannt
"Gert Schubring";1986; """ Bibliographie der Schulprogramme in Mathematik und Naturwissenschaften (wissenschaftliche Abhandlungen) 1800-1875""";Unbekannt;Unbekannt
"Georg Ch Pflug";1986; """ Stochastische Modelle in der Informatik""";Unbekannt;Unbekannt
"János Kristóf Nyíri";1986; """ From Bolzano to Wittgenstein""";Unbekannt;Unbekannt
"Georg Ch Pflug";1986; """ Stochastische Modelle in der Informatik""";Unbekannt;Unbekannt
"Unbekannt";1986; """ Kooperative Kunst""";Unbekannt;Unbekannt
"Fachinformationszentrum Technik";1986; """ FIZ-Technik-Zeitschriftenliste""";Unbekannt;Unbekannt
"Arnold Schoenberg Institute, Kathryn P. Glennan, Jerry L. McBride, R. Wayne Shoaf";1986; """ Arnold Schoenberg Institute Archives Preliminary Catalog""";Unbekannt;Unbekannt
"Carl Friedrich von Weizsäcker";1986; """ Die Verantwortung der Wissenschaft im Atomzeitalter""";3525331304;Unbekannt
"Heinz Moser";1986; """ Der Computer vor der Schultür""";328001638X;Unbekannt
"Carl Friedrich von Weizsäcker";1986; """ Die Verantwortung der Wissenschaft im Atomzeitalter""";3525331304;Unbekannt
"Arnold Schoenberg Institute, Kathryn P. Glennan, Jerry L. McBride, R. Wayne Shoaf";1986; """ Arnold Schoenberg Institute Archives Preliminary Catalog""";Unbekannt;Unbekannt
"Paul Kirchhof";1986; """ Wissenschaft in verfasster Freiheit""";Unbekannt;Unbekannt
"Werner Leinfellner, Franz M. Wuketits";1986; """ Proceedings of the 10th international Wittgenstein Symposium""";Unbekannt;Unbekannt
"Deutsches Museum (Germany), Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik";1986; """ Deutsches Museum""";3406312063;Unbekannt
"Verlag der Kunst (Drezno).";1986; """ Dezennium 3""";Unbekannt;Unbekannt
"B. M. Jaworski, A. A. Detlaf";31.12.1985; """ Taschenbuch der Physik""";9783112758076;129
"Jean Hubert Martin, Hans Christoph von Tavel";1985; """ Alles und noch viel mehr""";Unbekannt;Unbekannt
"Unbekannt";1985; """ KUNST DES LESENS-LESEMOBEL UND LESEVERHALTEN VOM MITTELALTER BIS ZUR GEGENWART.""";Unbekannt;Unbekannt
"Gregor Paul";1985; """ Der Mythos von der modernen Kunst und die Frage nach der Beschaffenheit einer zeitgemässen Ästhetik""";Unbekannt;Unbekannt
"Nikolaus Severinski";1985; """ Die Gesamtschulidee""";Unbekannt;Unbekannt
"Unbekannt";1985; """ Communications""";Unbekannt;Unbekannt
"Arbeitskreis für Moderne Sozialgeschichte";1985; """ Bildungsbürgertum im 19. Jahrhundert""";Unbekannt;Unbekannt
"Joachim Kaiser";1985; """ Wie ich sie sah-- und wie sie waren""";Unbekannt;Unbekannt
"Ernst Cassirer";1985; """ Symbol, Technik, Sprache""";Unbekannt;Unbekannt
"Unbekannt";1985; """ Geschichte der Technik""";Unbekannt;Unbekannt
"Unbekannt";1985; """ Handbuch der Universitäten und Fachhochschulen Bundesrepublik Deutschland, Österreich, Schweiz""";Unbekannt;Unbekannt
"Ernst Ronowski";1985; """ Gene Krupa, seine Musik auf Schallplatten, 1927-1973""";Unbekannt;Unbekannt
"Fritz Krückeberg";1985; """ Offene Multifunktionale Büroarbeitsplätze und Bildschirmtext""";Unbekannt;Unbekannt
"Universität Hamburg. Institut für Geschichte der Naturwissenschaften, Mathematik und Technik";1985; """ Das Institut für Geschichte der Naturwissenschaften, Mathematik und Technik der Universität Hamburg, 1960-1985""";3924330042;Unbekannt
"Unbekannt";1985; """ Internationales Asien Forum""";Unbekannt;Unbekannt
"Deutsche Bibliothek (Frankfurt am Main, Germany)";1985; """ Deutsche Bibliographie;""";Unbekannt;Unbekannt
"Carlo Bertelli";1985; """ Kunst, Musik, Schauspiel""";3205063813;Unbekannt
"Unbekannt";1985; """ Biomedizinische Technik""";Unbekannt;Unbekannt
"Carlo Bertelli";1985; """ Kunst, Musik, Schauspiel""";3205063813;Unbekannt
"F. L. Bauer, G. Goos";01.07.1984; """ Informatik""";3540131213;Unbekannt
"Paul Feyerabend";1984; """ Wissenschaft als Kunst""";Unbekannt;Unbekannt
"Zdenko Roter, Franc Rodé";1984; """ Science and Faith""";Unbekannt;Unbekannt
"Irmgard Hutter";1984; """ Byzanz und Der Westen""";Unbekannt;Unbekannt
"Martin Kohli";1984; """ Biographie und soziale Wirklichkeit""";Unbekannt;Unbekannt
"Karl Rumpf";1984; """ Silicon: History. Occurrence. sect. 1. History""";Unbekannt;Unbekannt
"Gesellschaft für Schleswig-Holsteinische Geschichte";1984; """ Geschichte Schleswig-Holsteins""";Unbekannt;Unbekannt
"Werner Heisenberg";1984; """ Physik und Erkenntnis 1956-1968""";Unbekannt;Unbekannt
"Polskie Towarzystwo Religioznawcze";1984; """ Current Progress in the Methodology of the Science of Religions""";Unbekannt;Unbekannt
"Ursula Günther, Ludwig Finscher";1984; """ Musik und Text in der Mehrstimmigkeit des 14. und 15. Jahrhunderts""";Unbekannt;Unbekannt
"Egon Kraus";1984; """ Musikstudium in der Bundesrepublik Deutschland""";3795725887;Unbekannt
"Harald Holz, Ernest Wolf-Gazo";1984; """ Whitehead and the Idea of Process""";Unbekannt;Unbekannt
"Erwin Schrödinger";1984; """ Collected papers""";Unbekannt;Unbekannt
"Unbekannt";1984; """ Acta Academiae Scientiarum Polonae""";Unbekannt;Unbekannt
"Miguel de Cervantes Saavedra";1984; """ Exemplarische Novellen""";3883798002;Unbekannt
"Werner Krauss";1984; """ Das wissenschaftliche Werk: Aufklärung I: Frankreich""";Unbekannt;Unbekannt
"Wilfried Westphal";1984; """ Geschichte der deutschen Kolonien""";Unbekannt;Unbekannt
"Gesellschaft für Schleswig-Holsteinische Geschichte";1984; """ Geschichte Schleswig-Holsteins""";Unbekannt;Unbekannt
"Unbekannt";1984; """ Lehrplan Musik""";Unbekannt;Unbekannt
"Helmut Waldschmidt, Hermann K.-G. Walter";1984; """ Grundzüge der Informatik""";3411016833;Unbekannt
"Helmut Waldschmidt, Hermann K.-G. Walter";1984; """ Grundzüge der Informatik""";3411016833;Unbekannt
"Paul Feyerabend";1984; """ Wissenschaft als Kunst""";Unbekannt;Unbekannt
"Unbekannt";1984; """ Deutsche Bibliographie""";Unbekannt;Unbekannt
"International Association of Applied Linguistics. Internationales Kolloquium, Wolfram Wilss";1984; """ Die Theorie des Übersetzens und ihr Aufschlusswert für die Übersetzungs- und Dolmetschdidaktik""";Unbekannt;Unbekannt
"Unbekannt";1984; """ Annuario Internazionale Di Iconografia Musicale""";Unbekannt;Unbekannt
"G. Schmid, H. Heinrich";14.01.1983; """ Zeitschrift für Angewandte Mathematik und Mechanik. Band 62, Heft 2""";3112649753;Unbekannt
"G. Schmid, H. Heinrich";14.01.1983; """ Zeitschrift für Angewandte Mathematik und Mechanik. Band 62, Heft 2""";3112649753;Unbekannt
"Andor Kertész, Manfred Stern";1983; """ Georg Cantor 1845-1918""";Unbekannt;Unbekannt
